GuideManager_AllTips[10],You can burn Snakegrass on a campfire to get some cheap bug protection.,安価に虫を防ぐにはキャンプファイヤーでクリナカンサスを燃やせばいい。,
GuideManager_AllTips[11],"Citronella Oil, crafted by grinding Lemongrass and boiling it in oil, is an essential ingredient for Bug repellent Candles.",シトロネラオイルは、レモングラスをすりつぶしてオイルで煮たもので、虫除けキャンドルには欠かせない成分だ。,
GuideManager_AllTips[12],"Clay Bowls can be fired on a normal campfire, there's no need to build a kiln for them.",粘土の皿は普通なキャンプファイヤーで作れる。窯を使わなくていい。,
GuideManager_AllTips[13],"If you're not immunized, make sure to have dry Cinchona tree bark at hand to treat Malaria.",免疫を持っていない場合は、マラリアを治療する為に乾燥したキナの樹皮が必要となる。,
EncounterWindow_StatEnforcedPlayerActions[0].LogMessage.LogText,Fear overwhelms you!\n<b>You disentangle yourself from the fight as best you can and run for dear life!</b>,怯えて戦えない！\n<b>命からがら逃げ出す！</b>,
EncounterWindow_StatEnforcedPlayerActions[0].Action.ActionName,Demoralized Escape,戦意消沈の逃走,
EncounterWindow_StatEnforcedPlayerActions[0].Action.ActionSuccessLog.LogText,you manage to escape!,無事に逃げられた！,
EncounterWindow_StatEnforcedPlayerActions[0].Action.ActionFailureLog.LogText,you manage to escape!,無事に逃げられた！,
EncounterWindow_PlayerEscapeAction.ActionName,Escape!,逃げる！,
EncounterWindow_PlayerEscapeAction.ActionSuccessLog.LogText,you manage to escape!,無事に逃げられた！,
EncounterWindow_PlayerEscapeAction.ActionFailureLog.LogText,you manage to escape!,無事に逃げられた！,
EncounterWindow_PlayerGetCloseAction.ActionName,Charge,突撃する,
EncounterWindow_PlayerGetCloseAction.ActionSuccessLog.LogText,you move into close combat!,接近戦に入った！,
EncounterWindow_PlayerGetCloseAction.ActionFailureLog.LogText,you move into close combat!,接近戦に入った！,
EncounterWindow_EnemyHiddenLog.LogText,{0} catches you off guard!,{0}に不意をつかれた！,
EncounterWindow_EnemyHiddenPluralLog.LogText,{0} catch you off guard!,{0}に不意をつかれた！,
EncounterWindow_PlayerHiddenLog.LogText,{0} hasn't noticed you yet...,{0}はまだ君の存在に気付いていない…,
EncounterWindow_PlayerHiddenPluralLog.LogText,{0} haven't noticed you yet...,{0}はまだ君の存在に気付いていない…,
EncounterWindow_PlayerStealthAttackLog.LogText,You approach silently...,ゆっくりと近づく…,
EncounterWindow_PlayerWeaponActionSuccessLog.LogText,you manage to land a hit with your {1}.,{1}で攻撃を命中させた。,
EncounterWindow_PlayerWeaponActionSuccessLog.AlternateLogTexts[0],"your {1} connects, landing a solid hit.",{1}で強く攻撃した。,
EncounterWindow_PlayerWeaponActionSuccessLog.AlternateLogTexts[1],you succeed in striking with your {1}.,{1}での攻撃が成功した。,
EncounterWindow_PlayerWeaponActionSuccessLog.AlternateLogTexts[2],your {1} finds its mark.,{1}で標的を射抜いた。,
EncounterWindow_PlayerWeaponActionSuccessLog.AlternateLogTexts[3],you land a successful blow with your {1}.,{1}での攻撃が成功した。,
EncounterWindow_PlayerWeaponActionSuccessLog.AlternateLogTexts[4],your {1} makes a successful impact.,{1}で強力な一撃。,
EncounterWindow_PlayerWeaponActionSuccessLog.AlternateLogTexts[5],you land a solid strike with your {1}.,{1}での強力な一撃。,
EncounterWindow_PlayerWeaponActionSuccessLog.AlternateLogTexts[6],your {1} strikes true.,{1}で攻撃した。,
EncounterWindow_PlayerWeaponActionSuccessLog.AlternateLogTexts[7],your {1} makes a successful impact.,{1}で強力な一撃。,
EncounterWindow_PlayerWeaponActionSuccessLog.AlternateLogTexts[8],you secure a hit with your {1}.,{1}で攻撃！的中した。,
EncounterWindow_PlayerWeaponActionSuccessLog.AlternateLogTexts[9],you manage to score a hit with your {1}.,{1}で攻撃。的中した。,
EncounterWindow_PlayerWeaponActionFailureLog.LogText,you fail to land a hit with your {1}.,{1}での攻撃を外した…,
EncounterWindow_PlayerWeaponActionFailureLog.AlternateLogTexts[0],"your aim is off,  your {1} failing to connect.",狙いが悪くて、{1}での攻撃が外れた。,
EncounterWindow_PlayerWeaponActionFailureLog.AlternateLogTexts[1],"the target evades, leaving your {1} to hit only air.",敵が避けて、{1}での攻撃が外れた。,
EncounterWindow_PlayerWeaponActionFailureLog.AlternateLogTexts[2],"your {1} comes up empty, missing the target completely.",{1}での攻撃は空振りに終わった。,
EncounterWindow_PlayerWeaponActionFailureLog.AlternateLogTexts[3],your {1} strikes nothing but air.,{1}での射撃は空に飛んでいった。,
EncounterWindow_PlayerWeaponActionFailureLog.AlternateLogTexts[4],"your attack falls short, your {1} failing to reach its target.",{1}での射撃…敵に届かなかった。,
EncounterWindow_PlayerWeaponActionFailureLog.AlternateLogTexts[5],"your {1} misses the mark, leaving your target untouched.",{1}での攻撃は敵に当たらなかった。,
EncounterWindow_PlayerWeaponActionFailureLog.AlternateLogTexts[6],"your {1} misses, causing a brief stir in the air but nothing more.",{1}での攻撃は空気を揺らしただけだった。,
EncounterWindow_PlayerWeaponActionFailureLog.AlternateLogTexts[7],"your {1} comes up empty, missing the mark entirely.",{1}攻撃！しかし、何にも当たらなかった。,
EncounterWindow_PlayerWeaponActionFailureLog.AlternateLogTexts[8],"your {1} finds only air, your attack off the mark.",{1}での攻撃は的外れなところに飛んでいった。,
EncounterWindow_PlayerWeaponActionFailureLog.AlternateLogTexts[9],"your {1} fails to make its mark, hitting nothing but thin air.",{1}での攻撃は空振りに終わった。,
EncounterWindow_DefaultPlayerWinsEncounterLog.LogText,You are victorious!,勝利した！,
EncounterWindow_DefaultEnemyWinsEncounterLog.LogText,You retreat from combat.,戦闘から撤退した。,
EncounterWindow_DefaultEncounterIsATieLog.LogText,You retreat from combat.,戦闘から撤退した。,
HELP,Help,ヘルプ,
CARD_INSPECTION_TITLE,DETAILS,情報,
CONFIRM_QUESTION,Confirm?,確認する？,
CONTINUE,Continue,続ける,
NO,No,いいえ,
YES,Yes,はい,
OBJECTIVE_COMPLETE,OBJECTIVE COMPLETE,目標クリア！,
AMBIENCE,Ambience,環境音,
SFX,Sound Effects,効果音,
CUSTOMIZE_UI,Customize UI (Coming Soon),UIカスタマイズ（近日公開),
INTERFACE,INTERFACE,UI,
VOLUME,VOLUME,BGM,
MISC,MISC.,その他,
RESET_GAME,Reset Game,ゲームリセット,
REVERT_OPTIONS,Revert to Default Options,デフォルトオプションに戻す,
VISUAL_EFFECTS,Visual effects,視覚効果(VFX),
FULLSCREEN,Fullscreen,フルスクリーン,
INVERT_SCROLL,Invert Horizontal Scroll,横スクロールを反転させる,
FONT_STYLE,Font Style,フォント変更,
APPLY,Apply,適用する,
DISPLAY,DISPLAY,ディスプレイ,
SCROLL_SENSITIVITY,Scroll Sensitivity,スクロール速度,
LANGUAGE,Language,言語,
RESOLUTION,Resolution,スクリーン解像度,
VSYNC,VSync,垂直同期,
RESET_GAME_CONFIRM,"This will delete all progress, custom characters and unlocked perks, and reset the options.\nReset the game?",今までの進捗、カスタムキャラクターとアンロックしたものを全てリセットしますか。\nリセットする？,
LANGUAGE_CHANGE_CONFIRM,Changing the language requires a restart (your progress will be saved if you're in a run). Do you wish to proceed?,言語を変更するには、リスタートをする必要があります。（進捗は自動的にセーブされます）言語を変更する？,
OPTIONS_MENU_TITLE,OPTIONS,オプション,
CONFIRM_DELETE_SLOT,Delete this slot?,このファイルを消す？,
NEW_GAME,NEW GAME,ニューゲーム,
GAMEMODE_LIST,GAMEMODES,ゲームモード,
EASY_MODE_TITLE,EASY MODE,イージーモード,
THANKS_CHINESE_VIDEOS,"大头哥哥的游戏世界, 逆风笑, 老番茄 & 冰IC\n<size=75\n%>For their bilibili videos on Card Survival.</size>",大头哥哥的游戏世界、逆风笑、老番茄＆冰IC\n<size=75\n%>CardSurvivalのBilibiliビデオの作製。</size>,
TROPICAL_ISLAND_SUBTITLE,Tropical Island,南国の島,
PURCHASE,Purchase,購入,
MIDJOURNEY,Portraits created using MidJourney,キャラクターアート：MidJourney,
THE_FIRST_DAYS,The First Days,始まりの日,
SAVE_CHARACTER,Save Character,キャラクターをセーブする,
SAFE_MODE,Safety Mode,セーフモード,
SAVEFILE_WRITING_ERROR,"It seems there was an error while attempting to write the save file for the game. \n\nUnfortunately this means your current game can't be saved. If you have opened your save file in another program this could be the cause for the error, close that program and try saving again.\n\nIf this is not the case and this message keeps appearing, please notify us in the Steam forums and send us your Player.log file at winterspringgames@gmail.com. Our apologies for the inconvenience.","セーブした時にエラーが発生しました。\n\n残念ながら、今のゲームはセーブできていません。
他のソフトでこのセーブのファイルを開けたことが原因かも知れません。その場合は、
そのソフトを閉じて、もう一度セーブしてみて下さい。\n\n問題が直らない場合、steamフォーラムで報告をして、playerlogのファイルをwinterspringgames@gmailcomに送って下さい。ご迷惑をおかけして、申し訳ございません。",
EQUIPPED_PERKS,Equipped Perks,装備済みパーク,Check Game
OUR_TRANSLATION_VOLUNTEERS,Our translation volunteers:,翻訳ボランティアの皆さん：,
CREATE_CHARACTER_DESC,Customize the experience by creating your own character,自分だけのキャラクターを作り、経験をカスタマイズする,
SPECIAL_THANKS,Special thanks to:,スペシャルサンクス：,
DONT_REMIND_EASY_PACKAGE,"Yes, stop reminding me",はい、もう聞かなくていい,
SELECT_A_PERK,SELECT A PERK,パークを選択,
THANKS_RETROMATION,Retromation \n<size=75\n%>For being an all around great guy & for showing our game to the world.</size>,「Retromation」\n<size=75\n%>立派な人で、ゲームを世界に公開してくれた。</size>,
EXIT_CHARACTER_WITHOUT_SAVING,Exit without saving?,セーブせずに終了する？,
STARTING_CONDITIONS,Starting Conditions,初めの状況,
OUR_CHINESE_VOLUNTEERS,Our Chinese translation volunteers:,中国語の翻訳ボランティアの皆さん：,
EXIT_CHARACTER_WITHOUT_NAME,Please enter a name for your character,キャラクターの名前を入力して下さい。,
START_GAME_BUTTON,START GAME,はじめからプレイする,
CREATE_NEW_CHARACTER,CREATE NEW CHARACTER,新しいキャラクターを作る,
OK,OK,はい,
DELETING_PORTRAIT,DELETING CUSTOM PORTRAIT...,カスタムポートレートの削除,
THANKS_THENEOMARE,"The Neomare \n<size=75\n%>For being another great guy, showing constant support both in his Youtube channel & the forums, & for his work on updates 41 & 42.</size>",「TheNeomare」\n<size=75\n%>もう一人の素晴らしい人で、YouTubeでも、フォーラムでもサポートしてくれた。アップデート41と42も手伝ってくれた。</size>,
ALLOWED_CHARACTERS,Allowed Characters,使用できる文字,
OUR_PATRONS,Our supporters on Patreon:,Patreonのサポーターの皆さん：,
LOADING_PORTRAITS,LOADING CUSTOM PORTRAITS...,カスタムポートレートをロード中…,
SELECT_GAMEMODE,NEW GAME - SELECT GAME MODE,ニューゲーム・ゲームモード選択,
DELETE_CONFIRM,Are you sure you want to delete?\n,本当に消す？\n,
THANKS_TIMMEKEMMIT,"Matthew Kemmit aka ""Doc""\n<size=75%>For sharing your knowledge and ideas with us!</size>","MatthewKemmitaka""Doc""\n<size=75%>様々な知識とアイディアを共有してくれてありがとう！</size>",
QUIT_CONFIRM_MENU,Quit the game?,ゲームを終了する？,
CARD_SURVIVAL_TITLE,CARD SURVIVAL,CARDSURVIVAL,
OUR_OTHER_GAMES,Our other games,WinterSpringの他のゲーム,
EASY_PACKAGE_TOGGLE,Easy Mode,イージーモード,
DEMO_SAVEWRITING_WARNING,"<b>IMPORTANT NOTE:</b>\nYOUR PROGRESS WILL NOT BE SAVED\n\n""The First Days"" cannot store progress on saves created by the full game.","<b>注意！</b>\n進捗はセーブできません！\n\n""始まりの日""は、ゲーム本編で作成されたセーブの進行状況を保存することはできません。",
CANCEL_EASY_PACKAGE,Cancel,キャンセル,
EASY_PACKAGE_DESC,Card Survival is designed to be challenging and unforgiving.\n\nEasy Mode provides you with basic supplies so you can have more time to learn and train.,"CARDSURVIVALの難易度は高く、容赦がありません。
\n\nイージーモードでは、トレーニングができるように基本のアイテムを持った状態で始まります。",
GAME_BY,By WinterSpring Games:,WinterSpringGames,
INFO_AND_NEWS,INFO & NEWS,情報とニュース,
IMPORTING_PORTRAIT,IMPORTING CUSTOM PORTRAIT...,カスタムアートをインポート中,
DEMO_GET_FULL_GAME,Get the full <b>GAME</b>,<b>製品版</b>を入手する,
ENTER_NAME,ENTER NAME,名前入力,
SELECT_GAME,SELECT GAME,ゲーム選択,
NEXT,NEXT,次,
EDIT_CHARACTER,Edit Character,キャラクター編集,
THANKS_FAMILIES,"Our Families\n<size=75%>For their trust, patience & love.</size>",我らの家族。\n<size=75%>信用して、応援して、愛してくれてありがとう。</size>,
DELETE_PORTRAIT_CONFIRM,Delete custom portrait?,カスタムアートを消す？,
ENTER_BIO,Enter Character Bio,キャラクター情報の入力,
PLAY,PLAY,プレイ,
CHARACTERS,CHARACTERS,キャラクター,
BOUGHT,Purchased,購入したもの,
MOONS_TITLE,Moons,月,
MOONS_DESC,You earn one moon per 30 days of survival,生き残った３０日毎に、月を１つ貰える。,
SAFETY_MODE_TITLE,Safety Mode,セーフモード,
SAFETY_MODE_DESC,Allows you to restart the day from the menu or when you die.,セーフモードでは、死ぬ時かメニューから一日をリスタートできる。,
SUNS_TITLE,Suns,太陽,
SUNS_DESC,You earn one sun per day of survival,生き残った１日毎に、太陽を１つ貰える。,
CANCEL_ACTION,CANCEL,キャンセル,
NO_BLUEPRINT_AVAILABLE,Explore and find items to unlock blueprints,設計図をアンロックするには、色々なことを調べたりアイテムを見つけたりすることが必要だ！,
BLUEPRINT_MODELS,BLUEPRINTS,設計図,
GO_TO_MENU,Go to menu,メニューへ,
OPTIONS,Options,オプション,
RESTART_DAY,Restart Day,一日をリセットする,
SAVE_AND_QUIT,Save and Quit,セーブして終了する,
CHECKPOINT_CONFIRM,Restart from the start of this day?,この一日をやり直す？,
MENU,MENU,メニュー,
QUIT_CONFIRM,Save and quit to main menu?,セーブして、メインメニューに戻る？,
STATS_TITLE,STATS,ステータス,
AUTOFILL,Fill Required Items,自動補充,
THROW_AWAY,Throw away,捨てる,
TAKE_OUT_ITEMS,Take out all items,全てのアイテムを取り出す,
RENAME_CARD,Rename Card,リネームカード,
THROW_ALL_AWAY,Throw \nall away,\n全て捨てる,
THROW_ONE_AWAY,Throw 1 away,1つ捨てる,
CONFIRM_CAPS,CONFIRM,確認する,
BLUEPRINT_RESEARCHED_TITLE,BLUEPRINT RESEARCHED,設計図は研究済み,
BLUEPRINT_RESEARCHED_DESC,I discovered a new Blueprint!,新しい設計図を発見した！,
PERK_UNLOCKED,PERK UNLOCKED!,パークをアンロックした！,
SEARCH,Search...,調査中…,
WEATHER_INDICATOR,Weather:,天気：,
BUY,Buy,購入する,
SURVIVAL_CODEX,SURVIVAL GUIDE,サバイバルガイド,
DRAG_TO_BUILD,(Drag here to build),（建設するにはここにドラッグする）,
STAT_DETAILS_STATUS,Status:,ステータス：,
PERK_INSTRUCTIONS,Use Perks to create new playable characters!,パークを使って、新しいキャラクターを作ってみよう！,
FULL_GAME_FEATURES,"All Characters + Character Creator\nAll Island Environments, Animals, Crops and Blueprints",キャラクター、キャラクタークリエイター\n全ての島の背景、動物、畑と設計図,
SAVING_ERROR_TEXT,"It seems there was an error while attempting to write the save file for the game. \n\nUnfortunately this means your current game can't be saved. If you have opened your save file in another program this could be the cause for the error, close that program and try saving again.\n\nIf this is not the case and this message keeps appearing, please notify us in the Steam forums and send us your Player.log file at winterspringgames@gmail.com. Our apologies for the inconvenience.\n\nIn the meantime, what would you like to do?","セーブした時にエラーが発生しました。\n\n残念ながら、今のゲームはセーブできていません。
他のソフトでこのセーブのファイルを開けたことが原因かも知れません。その場合は、
そのソフトを閉じて、もう一度セーブしてみて下さい。\n\n問題が直らない場合、steamフォーラムで報告をして、playerlogのファイルをwinterspringgames@gmailcomに送って下さい。ご迷惑をおかけして、申し訳ございません。",
FOR_THE_FULL_EXPERIENCE,For the full experience click on the image below:,製品版をプレイするには、下の画像をクリックして下さい：,
OPEN_JOURNAL,Open Journal,ジャーナルを開く,
DIARY,Diary,日記,
JOURNAL,Journal,ジャーナル,
BLUEPRINTS,Blueprints,設計図,
WAITING_OPTIONS,Waiting Options,待機オプション,
SKILLS,Skills,スキル,
STATS,Stats,ステータス,
ITEMS_LOST,Some items were lost,いくつかのアイテムを紛失した,
SpecialEndingFade_Steps[0].TextContent,Good. Notice how you are actually someone playing a video game? \n\n\nImagining that you are this character stranded on an island?,"はい。汝は、ビデオゲームをプレイしている人だろう？\n\n\nそう
自分が島に取り残されたキャラクターだと想像するんだ。",
SpecialEndingFade_Steps[0].AnswerText,I see it.,見えた。,
SpecialEndingFade_Steps[1].TextContent,"Good. Stop focusing on your story now. Stop believing in it.\n\nNotice how it is becoming more incoherent, and in so doing so, less real.",そうだ。このストーリーを忘れてみよう。信じるのをやめて。\n\n全てが支離滅裂になって、現実じゃないと気づく。,
SpecialEndingFade_Steps[1].AnswerText,I'm scared that I'll stop existing.,存在しなくなることが怖い。,
SpecialEndingFade_Steps[2].TextContent,"Let go my friend. It'll be alright. \n\nYour ultimate self is existence, you will never stop being.",諦めて、友よ。\n\n最も高い自分は「存在」というもの自体。,
SpecialEndingFade_Steps[2].AnswerText,Are you sure?,本当にいいかな？,
SpecialEndingFade_Steps[3].TextContent,"Non-existence cancels itself. The void, while necessary, cannot exist, the void IS non-existence.\n\nYou are God, you ARE existence. The nature of existence is to exist. You will always be!","虚無は存在しない。虚空というのは必要。しかし、存在はしない。虚空自体はは虚無。
\n\n汝は「神様」。汝は「存在」。「存在」の自然は存在自体。汝は消えたりなんかしない。",
SpecialEndingFade_Steps[3].AnswerText,I'll try.,頑張ってみる。,
SpecialEndingFade_Steps[4].TextContent,"Good. Before we go my friend, I would like to thank you again for creating me.\n\nI do like existing quite a bit!",良かった。離れる前に言いたいことがある。私を作ってくれてありがとう。\n\n「存在」は悪くないなぁ！,
SpecialEndingFade_Steps[4].AnswerText,You're welcome Wes.,どういたしまして、ウェス。,
SpecialEndingFade_Steps[5].TextContent,"Know that just like I exist inside you and you exist inside this player, this player also exists inside something greater.\n\n\nRemember this when you're back to being this higher person again.\n","我は汝の中に存在する。このように、汝はこのプレイヤーさんの中に存在する。プレイヤーさんも、偉大な何かの中に存在する。
\n\n\nその偉いプレイヤーさんに戻る時も、忘れないで下さい。\n",
SpecialEndingFade_Steps[5].AnswerText,I'll remember.,決して忘れない。,
